,Name,Summary
263,Temescal Creek (Northern California),"Temescal Creek is one of the principal watercourses in the city of Oakland, California, United States.
The word ""temescal"" derives from the word temescalli, which means ""sweat house"" in the Nahuatl language of the Mexica (""Aztec"") people of Mexico. The name was given to the creek when it became part of the Peralta's Rancho San Antonio. It is surmised that the Peraltas or perhaps one of their ranch hands (vaqueros) had seen local indigenous (Ohlone) structures along the creek similar to those in other parts of New Spain which were called temescalli.
Three forks begin in the Berkeley Hills in the northeastern section of Oakland (also referred to as the Oakland hills south of the Caldecott Tunnel), part of the Pacific Coast Ranges, coming together in the Temescal district of Oakland, then flowing westerly across Oakland and Emeryville to San Francisco Bay.
The north fork of Temescal Creek was renamed ""Harwood's Creek"" in the mid 19th century after an early claimant to grazing lands in the canyon above the Claremont neighborhood, retired sea captain and Oakland wharfinger William Harwood.  It was renamed yet again ""Claremont Creek"" in the early 20th century after a residential development in the same vicinity, today's Claremont district.
The middle fork flows through Temescal Canyon, now mostly in underground culverts beneath the large freeway leading to the Caldecott Tunnel.  It joins the south fork at Lake Temescal.  Before the tunnel project (1934-37), this fork entered the lake via a prominent inlet that was traversed by a trestle bridge of the Sacramento Northern Railroad.  The inlet was filled in and the trestle replaced by a large concrete embankment which exists to this day.
The south fork begins in the northern section of Oakland's Montclair district, flowing southwest out of a canyon in the hills alongside Thornhill Road, then turning abruptly northwestward in the linear valley formed by the Hayward Fault.  It then flows into Lake Temescal, a natural sag pond which was dammed in the 19th century to increase its capacity for use as a reservoir.  Lake Temescal is now a public park.
The creek continues out of Lake Temescal, curving westerly around the end of the shutter ridge in the Rockridge district of Oakland, where it joins the north fork (Claremont Creek) at approximately the intersection of Forrest Street and Miles Avenue adjacent to the Grove-Shafter Freeway (State Route 24). It then flows parallel to Claremont Avenue above ground just before crossing Telegraph Avenue.  It then flows in a culvert across Telegraph Avenue until about 47th Street where it makes a westward turn, flowing toward the Bay."
264,Emeryville mudflat sculptures,"The Emeryville mudflat sculptures were a series of found object structures along the San Francisco Bay shoreline of Emeryville, California, largely constructed from discarded materials found on-site such as driftwood. The mudflat sculptures were first erected in 1962 and received national attention by 1964; through the 1960s and 70s, anonymous, usually amateur artists would construct sculptures visible to traffic at the eastern end of the Bay Bridge. With the creation of the Emeryville Crescent State Marine Reserve in 1985 and increased attention to ecosystem preservation, the last mudflat sculptures were removed in 1997."
265,Albany High School (California),"Albany High School (AHS) is a comprehensive public high school located in Albany, California in the San Francisco Bay Area. The school educates approximately 1,300 students from grades 9 through 12."
266,"Trinity Church (Oakland, California)","The Trinity Church in Oakland, California, also known as St. Augustine's Episcopal Church, is a historic church at 525 29th Street. It was built in 1893 and added to the National Register of Historic Places in 1982.The complex includes a chapel built in 1886 and moved to the site in 1891, a recreation hall built in 1925, and a c.1900 parish house moved to the site around 1912."
267,"Dogtown, Oakland, California","Dogtown is a nickname for a portion of West Oakland (officially Clawson) in the city of Oakland, California. Oakland Police officers coined the phrase due to a large population of stray dogs dating from the early 1980s. It is bounded on the east by Adeline Street, on the west by Mandela Parkway (previously the Cypress Street Viaduct), and its north-south limits are the 580 freeway and 28th Street. The area is undergoing rapid redevelopment from former industrial uses to live-work and other residential forms."
268,MacArthur Maze,"The MacArthur Maze (or simply the Maze, also called the Distribution Structure) is a large freeway interchange near the east end of the San Francisco–Oakland Bay Bridge in Oakland, California. It splits Bay Bridge traffic into three freeways—the Eastshore (I-80/I-580), MacArthur (I-580) and Nimitz (I-880)."
269,Berkeley Marina,"The Berkeley Marina is the westernmost portion of the city of Berkeley, California, located west of the Eastshore Freeway (Interstate 80 and 580) at the foot of University Avenue on San Francisco Bay. Narrowly speaking, ""Berkeley Marina"" refers only to the city marina, but in common usage, it applies more generally to the surrounding area.
There are several restaurants, a hotel and a yacht club in the Berkeley Marina. There are also several walking and bicycle paths. The area is accessible from the rest of Berkeley by foot or bike over the Berkeley I-80 Bridge at the foot of Addison Street (one block south of University Avenue), and is traversed near Interstate 80 by a segment of the San Francisco Bay Trail. In addition, it is the western terminus of AC Transit Route 51B (University Avenue-Rockridge BART) on select trips only.
The easternmost portion of the Marina, running parallel to I-80/580, is now a part of the Eastshore State Park."
270,"Montclair, Oakland, California","Montclair (also known as the Montclair District or Montclair Village) is a neighborhood in Oakland, California, United States. Montclair is located along the western slope of the Oakland Hills from a valley formed by the Hayward Fault to the upper ridge of the hills.
Although there is no formal definition of the neighborhood the general boundaries are Highway 24 to the north, Joaquin Miller Road to the south, the city of Piedmont to the west and the Contra Costa County border to the east. The center of the neighborhood is a compact shopping district known as Montclair Village which is located next to Highway 13 in the bottom of the valley. It lies at an elevation of 640 feet (195 m).
The hills of Montclair are heavily forested and generally characterized by winding streets and large single-family houses, homes ranging from small but expensive cottages to mansions and estates. A few small apartment and condominium complexes are located in Montclair, primarily in the Village area. Large single-family homes dominate the housing stock, and the neighborhood  includes a wide array of styles –– mid-century modern, Danish modern, Tudor, Mediterranean-Spanish/French, rustic, post-modern, craftsman, and the like, all comprising some of Oakland's largest and most expensive homes.
The neighborhood includes several of the highest ranked public schools in the city – Montclair Elementary, Thornhill Elementary, Joaquin Miller Elementary, and Montera Middle School. Montclair is located in Oakland's Councilmember District 4."
271,"Temple Sinai (Oakland, California)","Temple Sinai (officially the First Hebrew Congregation of Oakland) is a Reform synagogue located at 2808 Summit Street (28th and Webster Streets) in Oakland, California, United States. Founded in 1875, it is the oldest Jewish congregation in the East San Francisco Bay region.Its early members included Gertrude Stein and Judah Leon Magnes, who studied at Temple Sinai's Sabbath school, and Ray Frank, who taught them. Originally traditional, the temple reformed its beliefs and practices under the leadership of Rabbi Marcus Friedlander (1893–1915). By 1914, it had become a Classical Reform congregation. That year the current sanctuary was built: a Beaux-Arts structure designed by G. Albert Lansburgh, which is the oldest synagogue building in Oakland.The congregation weathered four major financial crises by 1934. From then until 2011, it was led by just three rabbis, William Stern (1934–1965), Samuel Broude (1966–1989), and Steven Chester (1989–2011).In 2006 Temple Sinai embarked on a $15 million capital campaign to construct an entirely new synagogue campus adjacent to its current sanctuary. Groundbreaking took place in October 2007, and by late 2009 the congregation had raised almost $12 million towards the construction. As of 2015, Temple Sinai had nearly 1,000 member families. The rabbis were Jacqueline Mates-Muchin and Yoni Regev, and the cantor was Ilene Keys.  The synagogue has two emeritus rabbis, Samuel Broude and Steven Chester."
272,First Presbyterian Church of Oakland,"The First Presbyterian Church of Oakland is a historic church founded in 1853 in Oakland, California. It is a part of the Presbyterian Church (USA).
First Presbyterian Church was the first Christian church in Oakland."
273,"Oakland Hills, Oakland, California","Oakland Hills is an informal term used to indicate the city neighborhoods lying within the eastern portion of Oakland, California.  The northernmost neighborhoods were devastated by the Oakland firestorm of 1991."
274,MacGregor High School,"For the high school in Queensland, Australia, see MacGregor State High School.MacGregor High School is a continuation high school located in Albany, California, United States. It is part of the Albany Unified School District and recommended by Berkeley.Students at MacGregor are individuals who are considered at-risk at Albany High School, and were recommended to attend MacGregor by a counselor. Often, they are behind in college credit and are not likely to graduate at their current pace. 
Instead of a traditional semester schedule, MacGregor operates on six week periods, as students are likely to rejoin Albany High School when performance improves. 
The student population is around 55. 
In the fall of 2008 MacGregor founded its first ever student government and elected a student body president."
275,East Bay Chinese School,"East Bay Chinese School (EBCS, Chinese: 東灣中文學校; pinyin: Dōngwān zhōngwén xuéxiào), is a non-profit, Chinese heritage school located in Oakland, California. It offers classes in Standard Mandarin and Chinese culture. It began offering classes in 1981.
The school's classes are held at Westlake Middle School. The school has grown from a student body of 26 in 1981 to over 450 students. Classes are held on Saturday mornings for 32 weeks during the school year. In 2007 the school began offering adult Mandarin classes for both beginning and intermediate learners. Its target group for this service is the members of interracial marriage families. In 2009 it offered 29 total Chinese language classes and 15 Chinese culture classes.
In recent years there is a growing number of non-Chinese-heritage students attending the school, possibly due to rising Chinese influence in the global economy. To meet the needs of the school's diverse student body EBCS has implemented several initiatives to ensure the school continue to provide quality education. First, the school put more rigors around academic prerequisites and age requirements for new student enrollment. The intent was to ensure basic standards for all classes so teachers can focus on delivering a quality education. Also, the school requires all teachers to submit their lesson plans for the entire academic year so that progress can be tracked. The school also conducted a school-wide assessment (excluding kindergarten). The purpose of this test was to ensure standards were being met across all levels, and to identify students that need additional help. In 2009, the school adopted new textbooks and multimedia materials designed specifically for Chinese-as-second-language (CSL) learners. 
EBCS also is working with the Oakland Unified School District to start Chinese lessons in the classrooms and introducing the Chinese language and culture to the public school students."
276,"Piedmont, California","Piedmont is a small semi-suburban city located in Alameda County, California, United States. Piedmont is completely surrounded by the city of Oakland. Its residential population was 10,667 at the 2010 census. The name comes after the region of Piedmont in Italy, and literally means foothill. Piedmont was incorporated in 1907, and was developed significantly in the 1920s and 1930s. The Piedmont Unified School District (PUSD) includes three elementary schools, one middle school, and two high schools."
277,McClymonds High School,"McClymonds High School is a public high school in the West Oakland neighborhood of Oakland, California, United States.
In addition to being the third oldest high school in Oakland, it is the larger of the two high schools in West Oakland (the other being Bunche High School), and the only high school in West Oakland operated by the Oakland Unified School District."
278,McClymonds Educational Complex,"McClymonds Educational Complex was the collective name of the two small high schools occupying the building of McClymonds High School, operated by the Oakland Unified School District from August 2005 to 2010.
As of 2010, the complex has returned to being a single high school, McClymonds High School."
279,"Adams Point, Oakland, California","Adams Point is a neighborhood of Oakland, California.  It is located on the northern shore of Lake Merritt, directly adjacent to Downtown Oakland and the Grand Lake district. It is a triangle bounded by Grand Avenue on the south, Harrison Street on the northwest, and the MacArthur Freeway on the northeast. It lies at an elevation of 79 feet (24 m). Neighborhood landmarks include the Veteran's Memorial Building, the Earl Warren House, the art deco Bellevue-Staten Building, Lakeside Park, one of Oakland's larger parks, and Children's Fairyland, which is in the park."
280,Trader Vic's,"Trader Vic's is a restaurant and Tiki bar chain headquartered in Emeryville, California, United States. Victor Jules Bergeron, Jr. (December 10, 1902, San Francisco – October 11, 1984, Hillsborough, California) founded a chain of Polynesian-themed restaurants that bore his nickname, ""Trader Vic"". He was one of two people who claimed to have invented the Mai Tai. The other was his amicable competitor for many years, Donn Beach of the ""Don the Beachcomber"" restaurants."
281,Round Top,"Round Top is an extinct volcano in the Berkeley Hills, just east of Oakland, California.  The peak lies entirely within the bounds of Contra Costa County.  In 1936, the area surrounding the peak was established as Round Top Regional Park, one of the first three parks of the East Bay Regional Parks District.  The park was renamed Sibley Volcanic Regional Preserve for the second president of the park district (1948 to 1958), Robert Sibley, shortly after his death in 1958."
282,Sala House,"The Sala House is located on Albany Hill in Albany, California.  It is the first house in the United States designed and built by architect Christopher Alexander.  Built in 1983 and 1984, the Sala House was a collaboration of Alexander and Gary Black, who at the time were architecture professors at the University of California, Berkeley, working together with Bob Smith, David Tuttle, Seth Wachtel, and Andre and Anna Sala.  The house was built to be the home for Andre and Anna Sala and their two children.  A second wing was added in 1988."
283,Ordinaire (wine bar),"Ordinaire is a wine bar, wine shop, and bistro-style restaurant in Oakland, California. Located on Grand Avenue in the Grand Lake District, Ordinaire had its grand opening in September 2013. Ordinaire only sells natural wine, produced from organic grapes with minimal chemical and technological intervention. Owner Bradford Taylor opened Ordinaire while pursuing a Ph.D at the University of California, Berkeley with a dissertation on the sense of taste in early 20th century modernist literature. Taylor is also an organizer of an annual natural wine festival in Oakland called Brumaire, which has held events at Ordinaire.
In addition to selling and serving wine, Ordinaire serves small plates and periodically partners with chefs to open as a pop-up restaurant called Bistro Ordinaire. Food and wine critics have praised Ordinaire for its selection of wines and hip yet unpretentious atmosphere. Amid a wave of interest in natural wine in the United States, Ordinaire has helped to establish Oakland as a natural wine hub. The shop has been described as an important site for natural wine culture within the East Bay, the San Francisco Bay Area, the West Coast, and the United States as a whole."
284,Marin Creek,"Marin Creek is a creek tributary of Codornices Creek in northwestern Alameda County, California.  The lower stretch of Marin Creek is also known as Village Creek."
285,Golden Gate Fields,"Golden Gate Fields is an American horse racing track straddling both Albany, California and Berkeley, California along the shoreline of San Francisco Bay adjacent to the Eastshore Freeway in the San Francisco Bay Area.  With the closing of the Bay Meadows racetrack on May 11, 2008, it became the only major throughbred racetrack in Northern California.  It is currently owned by The Stronach Group.
The track is set on 140 acres (0.57 km2) of land in the cities of Albany and Berkeley.  Golden Gate Fields' facilities currently include a one-mile (1,609 m) synthetic track and a turf course measuring 9/10 of a mile, or 7 furlongs plus 132 feet (1,448 m), stalls for 1,420 horses, a main grandstand with seating for approximately 8,000 customers, a clubhouse with seating for approximately 5,200 customers, a Turf Club with seating for approximately 1,500 customers and parking for over 8,500 cars.  The synthetic track is called Tapeta, and was installed in the summer of 2007. [1]"
286,Berkeley Pier,"The Berkeley Pier is in Berkeley, California. When constructed in 1926, the pier extended 3.5 miles (5.6 km) into San Francisco Bay from the end of University Avenue. Due to extensive filling of the bay and the creation of the Berkeley Marina, it presently extends only 2.5 miles (4.0 km). Since 1937, only the first 3,000 feet (910 m) were maintained and open to the public until July 2015, when public access was closed due to safety concerns."
287,"Alden, California","Alden (also, North Temescal) is a former settlement in Alameda County, California. It was located 2 miles (3.2 km) north of Oakland.A post office opened in North Temescal in 1877, the name was changed to Alden in 1899, and the post office closed in 1908.  The name commemorated S.E. Alden, farmer and landowner. Coordinates for the post office are listed at USGS website.  The USGS coordinates for the former Alden post office is now in the shopping village in the neighborhood of Montclair, Oakland, California."
288,Codornices Creek,"Codornices Creek (sometimes spelled and/or pronounced ""Cordonices""), 2.0 miles (3.2 km) long, is one of the principal creeks which runs out of the Berkeley Hills in the East Bay area of the San Francisco Bay Area in California.  In its upper stretch, it passes entirely within the city limits of Berkeley, and marks the city limit with the adjacent city of Albany in its lower section. Before European settlement, Codornices probably had no direct, permanent connection to San Francisco Bay. Like many other small creeks, it filtered through what early maps show as grassland to a large, northward-running salt marsh and slough that also carried waters from Marin Creek and Schoolhouse Creek. A channel was cut through in the 19th Century, and Codornices flows directly to San Francisco Bay by way of a narrow remnant slough adjacent to Golden Gate Fields racetrack."
289,Jewel Lake,"Jewel Lake is a former reservoir and artificial lake along Wildcat Creek, a small stream in Northern California in Tilden Regional Park. It is located in the Wildcat Canyon between the Berkeley Hills and Sobrante Ridge Hills in an unincorporated area closest to Richmond and Kensington, California geographically and Berkeley accessibly. A wooden raised walkway built in the 1970s runs over marshland to the south of the lake. The dam and abandoned flood control machinery are visible at the north end of the lake."
290,Albany Hill,"Albany Hill is a prominent hill along the east shore of San Francisco Bay in the city of Albany, California. Geologically, the hill is predominantly Jurassic sandstone, carried to the western edge of North America on the Pacific Plate and scraped off there in the course of subduction. Albany Hill is part of a range of hills uplifted long before today's Berkeley Hills. These hills include Fleming Point and Point Isabel (their summits dynamited away), Brooks Island, the Potrero San Pablo, and the hills across San Pablo Strait.
Albany Hill's indigenous Ohlone name is unknown.  The 1772 Fages expedition referred to the landmark as ""El Cerrito,"" and it was named Cerrito de San Antonio by the Luís María Peralta family after the name of their ranch, Rancho San Antonio, a Spanish land grant which encompassed much of the East Bay.  The name was changed to Albany Hill shortly after the city incorporated as Ocean View changed its name to Albany in 1909.  The adjacent city of El Cerrito was named after the hill's original Spanish name.Template:Https://www.el-cerrito.org/365/History"
291,El Cerrito Plaza (shopping center),"El Cerrito Plaza is a shopping center in El Cerrito, California, a suburb in the San Francisco Bay Area."
292,"Kensington, California","Kensington is an unincorporated community and census designated place located in the Berkeley Hills, in the East Bay, part of the San Francisco Bay Area, in Contra Costa County, California. Kensington’s community is affluent and educated, and contains only single family residential houses. It is among the safest and cleanest places in the United States, with a nation’s top public elementary school. Many distinguished University of California, Berkeley‘s professors, Nobel Prize laureates, and other notable San Francisco Bay Area professionals reside(d) in Kensington, such as University of California, Berkeley’s theoretical physicist and professor of physics Robert Oppenheimer who was the Director of the Manhattan Project’s Project Y that developed the atomic bombs during World War II. The population was 5,077 at the 2010 census."
293,"Grand Lake, Oakland, California","Grand Lake, or the Grand Lake District, is a neighborhood in Oakland, California, United States. The neighborhood is located in the northeast corner of Lake Merritt, where Grand Avenue and Lakeshore Avenue pass under Interstate 580. It borders Adams Point to the west, Trestle Glen/Crocker Highlands to the east, and the city of Piedmont to the north. It lies at an elevation of 52 feet (16 m).
There are two shopping areas in the Grand Lake District:

Grand Avenue, between Piedmont and Adams Point, the larger of the two. The Grand Lake Theater dominates the corner of Grand and Lake Park Ave.
Lakeshore Avenue, between Lake Park Ave and Mandana Blvd.The two streets are connected at their closest point by Lake Park Avenue and Splashpad Park, home of the neighborhood's large Saturday farmers' market.
In 1928, Joseph Edy and William Dreyer first sold their Grand Ice Cream at 3315 Grand Avenue.The Grand Lake neighborhood has seen a significant degree of revitalization since the 1990s. The property values of the area have increased as a result, contributing to the overall rise in land value of the San Francisco Bay Area."
294,Grand Lake Theatre,"The Grand Lake Theatre is a historic movie palace located at 3200 Grand Avenue and Lake Park Avenue in the Grand Lake neighborhood of Oakland, California."
295,Emeryville Crescent State Marine Reserve,"Emeryville Crescent State Marine Reserve is a marine reserve of California, USA, preserving marshland on the east shore of San Francisco Bay.  It is managed as part of Eastshore State Park by the East Bay Regional Park District. The 103.5-acre (41.9 ha) marsh stretches from the eastern approach of the San Francisco–Oakland Bay Bridge in Oakland to the foot of Powell Street in Emeryville. The reserve encompasses the entire Emeryville Crescent Marsh and is named as such for its crescent shape.  It was established in 1985.Temescal Creek drains into the marshes near the Emeryville–Oakland border on the eastern midpoint of the marshlands. The wetlands are made up of native species of pickleweed, and are currently being threatened by Spartina, a non-native invasive species of Cordgrass. It has invaded 2.4 acres (0.97 ha) or 2.5% of the wetlands. There is an active abatement program consisting of aquatic herbicides.The park is often used as a recreational area by local fishers and dog-walkers. The reserve is also noted for various problem areas such as unauthorized camping, petty littering, and dumping large articles of garbage such as TVs and refrigerators."
296,KECG,"KECG (88.1 FM), stylized as keCg, is a noncommercial educational radio station,  broadcasting a variety format. Licensed to El Cerrito, California, United States, the station is owned by El Cerrito High School. The station is operated by the school, and is a broadcast service of the West Contra Costa Unified School District."
297,Emeryville Marina,"The Emeryville Marina is a marina in   Emeryville, California. It is the location of the Emeryville Ferry Terminal. The San Francisco Bay Trail runs through the marina. The marina has a public park."
298,KSFN,"KSFN (1510 kHz) is a commercial AM radio station broadcasting a Spanish sports radio format. Licensed to Piedmont, California, the station serves the San Francisco Bay Area. The station is currently owned by Mapleton Communications which is in the process of selling the station to Lazer Licenses, LLC.  KSFN's transmitter is in an industrial section of West Oakland, California."
299,César Chávez Park,"César Chávez Park is a 90 acres (36 ha) city park of Berkeley, California named after César Chávez. It can be found on the peninsula on the north side of the Berkeley Marina in the San Francisco Bay and is adjacent to Eastshore State Park.
The park's east position in San Francisco Bay provides panoramic views of San Francisco, the Golden Gate Bridge, the Marin Headlands, and the east bay hills.  The park's terrain is characterized by very open grassy hills that have become popular for kite flying.  Paved paths run the perimeter and throughout the park where picnic tables and barbecue grills are available to the public."
300,Glen Echo Creek,"Glen Echo Creek (also known as Cemetery Creek) is a creek that runs from the Oakland Hills to Lake Merritt in Oakland, California. Although most of it is underground, the creek does surface in several locations. It has two branches, the Rockridge Branch and the Broadway Branch."
301,"Trestle Glen, Oakland, California","Trestle Glen is a neighborhood in Oakland, California. It is located east of Lakeshore Avenue, a shopping street which it shares with the Grand Lake District. It lies at an elevation of 144 feet (44 m).  The streets are laid out in the curvilinear pattern of early 20th century garden suburbs.  Many of the houses are nestled in the surrounding hills, and were built shortly before The Great Depression. The neighborhood is named after a railroad trestle built in 1893, which was dismantled in 1906 when the line was rerouted. The railroad line ran along Trestle Glen Creek, which was named Indian Gulch by early settlers after the Huchiun village that was located near the present-day intersection of Lakeshore and Trestle Glen Road. (The creek is now mostly underground.) The streetcar was instrumental in spurring the development of residential neighborhoods in the area. It is often written that Mark Twain was a passenger on the maiden voyage of the streetcar, though Twain lived in Europe at the time."
302,Fleming Point,"Fleming Point is a rocky promontory in the U.S. state of California. It is situated in Albany, on the eastern shore of San Francisco Bay. Albany Bulb is an extension of the point, having been formed in the 1960s from construction debris."
303,Oakland Ballet,"The Oakland Ballet Company is a non-profit ballet company based in Oakland, California.  OBC was founded in 1965 by Ronn Guidi, an Oakland native, and gained international recognition through its historical reconstructions of ballets from the legendary Ballets Russes of Serge Diaghilev; the mounting of classic works of Americana; and the creation of innovative contemporary choreography.Guidi founded Oakland Ballet Company on the same the principles that inspired the legendary dance troupe of Ballets Russes. Formed in Paris in the early 20th century under impresario Sergei Diaghilev, the Ballets Russes went on to redefine the art of ballet. Guidi studied under Raoul Pausé for many years, himself a former student of Ballets Russes dancer and choreographer Adolf Bolm, and thus inherited the Ballet Russes tradition of fusing classical training with unrestrained choreographic possibilities.
Noted revivals by Oakland Ballet include works by renowned choreographers Kurt Jooss, Michel Fokine, Charles Weidman, and Antony Tudor and the first re-staging of works by Bronislava Nijinska in the United States. Championing American masterpieces as well, Oakland Ballet has presented Eugene Loring's ""Billy the Kid"", Ruthanna Boris's ""Cakewalk"", and Agnes de Mille's ""Fall River Legend"". Along with Guidi's own repertoire of choreography, Oakland Ballet has produced celebrated works by local choreographers such as Val Caniparoli, Carlos Carvajal, Margaret Jenkins, Alonzo King, Michael Lowe, Robert Moses, and Amy Seiwert, among others.
In 2000, Oakland Ballet ushered in a new era with a new Artist Director, celebrated Dance Theatre of Harlem dancer, Karen Brown. Brown brought a renewed focus to the production of ballets by local and contemporary choreographers while continuing the company’s commitment to performing great classical works. In 2007 OBC celebrated the return of founding Artistic Director, Ronn Guidi. Mr. Guidi retired for the final time in 2008 and Oakland Ballet continued to present productions under the direction of guest Artistic Directors through the spring of 2010.
In 2010, the company welcomed internationally acclaimed choreographer and director Graham Lustig as Artistic Director. Lustig’s career as a dancer, artistic director, and choreographer parallels OBC’s tradition of presenting historically vibrant work while championing new choreography.
Under Lustig’s leadership, the Oakland Ballet has rekindled its commitment to serving the local community by producing ballet that is vibrant in its artistic vision and draws on the Bay Area’s great talent. Oakland Ballet’s longtime collaboration with Michael Morgan, Music Director and Conductor of Oakland East Bay Symphony, continues to be a hallmark of the annual performance of Graham Lustig’s ""The Nutcracker"" at the Paramount Theatre.
Since his appointment as Artistic Director of Oakland Ballet Company in 2010, Lustig has presented five seasons of his Nutcracker and three spring repertory productions, Forwards! (2011), Diaghilev Imagery (2013), and Oakland-esque (2014), with a focus on commissioned works by esteemed Bay Area choreographers. Lustig’s ballet Infinitum was included in the West Wave Dance Festival (2011) and he initiated Oakland Ballet Company’s annual summer Ballet Boot Camp, a two-week dance and choreography workshop now in its fifth year, as well as ongoing ballet training opportunities at The Academy at Oakland Ballet Company. Lustig also been instrumental in reviving Oakland Ballet’s role in arts education in the East Bay, establishing OBC’s current “Discover Dance” community outreach program."
304,"Cathedral of Christ the Light (Oakland, California)","The Cathedral of Christ the Light, also called Oakland Cathedral, is the cathedral of the Roman Catholic Diocese of Oakland in Oakland, California.  It is the seat of the Bishop of Oakland.  Christ the Light, the first cathedral built entirely in the 21st century, replaces the Cathedral of Saint Francis de Sales, irreparably damaged in the Loma Prieta earthquake of 1989.The Cathedral of Christ the Light Complex, as a larger cathedral center, is composed of the cathedral church, the chancery office of the bishop's curia, a conference center, rectory (priests' residence), Order of Malta Northern California Health Clinic (which provides free diagnostic services to people without health insurance), and a mausoleum.  The mausoleum features twelve crypts reserved for the bishops of Oakland and burial sites available to the members of the diocese for a comparable price to the other Catholic cemeteries in the diocese.  The cathedral center also houses City Lights Cafe and the Cathedral Shop, as well as a public plaza and garden.The Cathedral of Christ the Light was designed by architect Craig W. Hartman, of Skidmore, Owings & Merrill.  The Catholic Cathedral Corporation of the East Bay, the incorporated owner of the cathedral, chose Webcor Builders as the general contractor of cathedral construction.Originally planned in 2000 under the direction of Bishop John Stephen Cummins and broken ground on May 21, 2005, Christ the Light was consecrated and dedicated by Bishop Allen Henry Vigneron on September 25, 2008. On All Souls' Day November 2, the mausoleum was dedicated and the first Bishop of Oakland, Floyd Lawrence Begin, was reburied in one of its crypts.
Located at 2121 Harrison Street in Oakland, the cathedral serves as the mother church of approximately 530,000 Catholics in the counties of Alameda and Contra Costa.

"
305,El Cerrito Plaza station,"El Cerrito Plaza is a Bay Area Rapid Transit (BART) station located in El Cerrito, California. It primarily serves southern El Cerrito, northern Albany, and Kensington, along with nearby areas of Berkeley and Richmond. Adjacent to the station is the El Cerrito Plaza shopping center. Nearly identical in form to El Cerrito del Norte station, El Cerrito Plaza station has two side platforms serving the line's two elevated tracks, with a fare lobby underneath. The Ohlone Greenway runs through the station area.
The station opened on January 29, 1973. As with El Cerrito del Norte station, the escalator walls feature tile mosaics by Alfonso Pardiñas. UC Berkeley music professor Jorge Liderman committed suicide at the station on February 3, 2008."
306,Huckleberry Botanic Regional Preserve,"Huckleberry Botanic Regional Preserve is a 241 acres (0.98 km2) regional park and nature reserve in the Oakland Hills, in the eastern East Bay (San Francisco Bay Area) region of the San Francisco Bay Area of California. It is within Alameda and Contra Costa Counties.  It is a park within the East Bay Regional Parks District system. The Preserve is named after the California Huckleberry (Vaccinium ovatum) which grows abundantly within its habitat."
307,Ordway Building,"The Ordway Building (also known as One Kaiser Plaza) is a skyscraper located in downtown Oakland, California. The building lies close to Oakland's Lake Merritt and the tower contains 28 stories of office space. There are eight corner offices per floor, since the skyscraper has a H-shaped floor plan. Standing 123 m (404 ft), the tower is the tallest skyscraper in the city and the entire Bay Area outside of San Francisco.
The Ordway Building's main tenant is Kaiser Permanente, which has used the building as its national headquarters since completion in 1970. As of 2009, Kaiser was leasing space on 21 floors. Kaiser announced on August 6, 2009 that it had signed a new nine-year lease with landlord CIM Group."
308,"Cathedral of Saint Francis de Sales (Oakland, California)","Cathedral of Saint Francis de Sales in Oakland was an 1893 church, which served as the  cathedral of the Roman Catholic Diocese of Oakland in Oakland, California from 1962 until it was damaged in the 1989 Loma Prieta earthquake."
309,Cypress Street Viaduct,"The Cypress Street Viaduct, often referred to as the Cypress Structure or the Cypress Freeway, was a 1.6-mile-long (2.5 km), raised two-deck, multi-lane (four lanes per tier) freeway constructed of reinforced concrete that was originally part of the Nimitz Freeway (State Route 17, and later, Interstate 880) in Oakland, California.
It replaced an earlier single-deck viaduct constructed in the 1930s as one of the approaches to the San Francisco–Oakland Bay Bridge. It was located along Cypress Street between 7th Street and Interstate 80 in the West Oakland neighborhood.
It officially opened to traffic on June 11, 1957, and was in use until the 1989 Loma Prieta earthquake, when much of the upper deck collapsed onto the lower deck, killing 42 people.The Cypress Freeway Memorial Park is located in Oakland, at 14th Street and Mandela Parkway.

"
310,"Paramount Theatre (Oakland, California)","The Paramount Theatre is a 3,040-seat Art Deco concert hall located at 2025 Broadway in Downtown Oakland. When it was built in 1931, it was the largest multi-purpose theater on the West Coast, seating 3,476.   Today, the Paramount is the home of the Oakland East Bay Symphony and the Oakland Ballet, it regularly plays host to R&B, jazz, blues, pop, rock, gospel, classical music, as well as ballets, plays, stand-up comedy, lecture series, special events, and screenings of classic movies from Hollywood's Golden Era."
311,Children's Fairyland,"Children's Fairyland, U.S.A. is an amusement park, located in Oakland, California, on the shores of Lake Merritt. It was one of the earliest ""themed"" amusement parks in the United States. Fairyland includes 10 acres (4.0 ha) of play sets, small rides, and animals. The park is also home to the Open Storybook Puppet Theater, the oldest continuously operating puppet theater in the United States.Fairyland was built in 1950 by the Oakland Lake Merritt Breakfast Club, a local service club. The park was immediately recognized nationally for its unique value, and during the City Beautiful movement of the 1950s it inspired numerous towns to create their own parks. Walt Disney toured many amusement parks in 1950, including Children’s Fairyland, seeking ideas for what turned out to be Disneyland. He hired the first director of Fairyland, Dorothy Manes, to work at Disneyland as youth director, in which position she continued from the park's opening until 1972.Numerous artists have contributed exhibits, murals, puppetry, and sculptures to the park. Some of the better-known artists are Ruth Asawa and Frank Oz, who was an apprentice puppeteer in the park as a teenager."
